regional conditions individual,road type business,criminal records,health records,income,credit limit,market share category,market growth,market trends,cash flow from operations category,cash flow from investing category,cash flow from financing category,operating expenses,revenue,gross profit margin category,net profit margin category,return on assets category,credit history,management experience,customer retention rates category,customer acquisition costs category,collateral category,obsolescence rates category,account receiveable category,debt category,interest rates category,regulatory environment,marketing strategy,geographic location,credit score
3,2,0,2,30791735.49,110850247.8,3,0,0,0,0,0,660969009.0,3564963758,2,2,2,3,3,3,0,2,2,3,0,2,0,0,3,7
3,2,0,2,245507886.4,883828391.1,1,0,0,0,0,0,731584304.1,7839588899,2,2,2,3,3,3,0,2,2,3,0,2,0,0,3,8
3,2,0,2,151244574.6,544480468.4,3,0,0,0,0,0,673431209.6,3476906163,2,2,2,3,3,1,2,2,2,3,0,2,0,0,3,10
3,2,0,2,196607889.6,707788402.5,3,0,0,0,0,0,858613060.2,6577989462,2,2,2,3,3,1,2,2,2,3,0,2,0,0,3,11
3,2,0,2,299229966.6,1077227880.0,1,0,0,0,0,0,811703032.8,11060740424,2,2,2,3,3,1,2,2,2,3,0,2,0,0,3,14
3,2,0,2,216188024.2,778276887.1,1,0,0,0,0,0,740505053.4,4326810131,2,2,2,3,3,1,2,2,2,3,0,2,0,0,3,13
3,2,0,2,33080440.6,119089586.2,3,0,0,0,0,1,575282598.0,5551170371,2,2,2,3,3,1,2,2,2,3,0,2,0,0,3,16
3,2,0,2,186278608.1,670602989.1,3,0,0,0,0,1,771076968.0,3054021163,2,2,2,3,3,1,2,2,2,3,0,2,0,0,3,17
3,2,0,2,26298189.58,94673482.49,3,0,0,0,0,1,668873139.1,5929584230,2,2,2,3,1,1,2,2,2,3,0,2,0,0,3,17
3,2,2,2,32087529.22,115515105.2,3,0,0,0,0,1,882060499.8,4373089376,2,2,2,3,1,1,2,2,2,3,0,2,0,0,3,19
3,2,2,2,261451940.3,941226984.9,1,0,0,0,0,1,708408796.7,6149814001,2,2,2,3,1,1,2,2,2,3,0,2,0,0,3,19
3,2,2,2,175126249.5,630454498.2,3,0,0,0,0,1,954532621.8,5610024107,2,2,2,3,1,1,2,2,2,3,0,2,0,0,3,19
0,2,2,2,125304607.3,451096586.2,3,0,0,0,0,1,611188791.7,4773502752,2,2,2,3,1,1,2,2,2,3,0,2,0,0,3,24
0,2,2,2,33865897.48,121917230.9,3,0,0,0,0,1,615114098.9,10381883434,2,2,2,3,1,1,2,2,2,3,0,2,0,0,3,22
0,2,2,2,380613940.4,1370210185.0,1,0,0,0,0,1,926112333.2,7467189012,2,2,2,3,1,1,2,2,2,3,0,2,0,0,3,22
0,2,2,2,82528778.18,297103601.4,3,0,0,0,0,1,881364603.6,6756415233,2,2,2,3,1,1,2,2,2,3,0,2,0,0,3,22
0,2,2,2,230174807.9,828629308.3,1,0,0,0,0,1,925913625.2,4968950972,2,2,2,3,1,1,2,2,2,3,0,2,0,1,3,24
0,2,2,2,149767247.3,539162090.4,3,0,0,0,0,1,772184332.8,3362158742,2,2,2,1,1,1,2,0,2,3,0,2,0,1,3,28
0,2,2,2,291679810.7,1050047319.0,1,0,0,0,0,1,767880507.6,5760336971,2,2,2,1,1,1,2,0,2,3,0,2,0,1,3,30
0,2,2,2,362140232.1,1303704836.0,1,0,0,0,0,1,955399187.1,6758237775,2,2,2,1,1,1,2,0,2,3,0,2,0,1,0,31
0,2,2,2,41869288.69,150729439.3,3,0,0,0,0,1,829962703.9,3509838880,2,2,2,1,1,1,2,0,2,3,0,2,0,1,0,31
0,2,2,2,136368574.9,490926869.5,3,0,0,0,0,1,689743897.5,4713443217,2,2,2,1,1,1,2,0,2,3,0,2,0,1,0,31
0,2,2,2,39721172.86,142996222.3,3,0,0,0,0,1,635858408.6,4972806880,2,2,2,1,1,1,2,0,2,3,0,2,0,1,0,31
0,2,2,2,230423457.6,829524447.4,1,0,0,0,0,1,799414412.3,3345973561,2,2,2,1,1,1,2,0,2,3,0,2,0,1,0,30
0,2,2,2,299425016.2,1077930058.0,1,0,0,0,0,1,726277527.0,7780503582,2,2,2,1,1,1,2,0,2,3,0,2,0,1,0,30
0,2,2,2,237192375.1,853892550.5,1,0,0,0,0,1,835491366.4,4907548784,2,2,2,1,1,1,2,0,2,3,0,2,0,1,0,30
0,2,2,2,198179009.4,713444433.9,3,0,0,0,0,1,838518652.9,3663471051,2,2,2,1,1,1,2,0,2,3,0,2,1,1,0,31
0,2,2,2,113658395.8,409170224.9,3,0,0,0,0,1,1316760619.0,7384010544,2,2,2,1,1,1,2,0,2,3,0,0,1,1,0,34
0,2,2,2,296049744.7,1065779081.0,1,0,0,0,0,1,1166748124.0,7258851905,2,2,2,1,1,1,2,0,2,3,0,0,1,1,0,34
0,2,2,2,338029736.7,1216907052.0,1,0,0,0,0,1,1209915172.0,3184916104,2,2,2,1,1,1,2,0,2,3,0,0,1,1,0,34
0,2,1,0,22917850.16,82504260.58,3,0,0,1,0,1,1065801025.0,7720998222,2,2,2,1,1,1,2,0,2,3,0,0,1,1,0,40
0,2,1,0,102323447.6,368364411.2,3,0,0,1,0,1,1345933014.0,6111562156,2,2,2,1,1,1,2,0,2,3,0,0,1,1,0,40
0,2,1,0,104859819.3,377495349.3,3,0,0,1,0,1,1411038277.0,11479988902,0,2,2,1,1,1,2,0,2,3,0,0,1,1,0,40
0,1,1,0,395796355.3,1424866879.0,1,0,0,1,0,1,1472346928.0,11526833405,0,0,2,1,1,1,2,0,2,3,0,0,1,1,0,45
2,1,1,0,156811301.9,564520687.0,3,0,0,1,0,1,1212019997.0,11456292831,0,0,2,1,1,1,2,0,2,3,1,0,1,1,0,50
2,1,1,0,199098685.5,716755267.8,3,0,0,1,0,1,1222016508.0,10313771917,0,0,2,1,1,1,2,0,2,3,1,0,1,1,0,50
2,1,1,0,101475618.6,365312226.9,3,0,0,1,0,1,1373024454.0,10153977652,0,0,2,1,1,1,2,0,2,3,1,0,1,1,0,50
2,1,1,0,236078343.2,849882035.6,1,0,0,1,1,1,1417037884.0,9418770522,0,0,2,1,1,1,2,0,2,3,1,0,1,1,0,53
2,1,1,0,45792667.05,164853601.4,3,0,0,1,1,1,1322745902.0,11186681508,0,0,2,1,2,1,2,0,2,3,1,0,1,1,0,54
2,1,1,0,290713420.8,1046568315.0,1,0,0,1,1,1,1293380632.0,10181406644,0,0,2,1,2,1,2,0,2,1,1,0,1,1,0,56
2,1,1,0,116807332.7,420506397.6,3,0,0,1,1,1,1102241824.0,9038831650,0,0,2,1,2,1,2,0,2,1,1,0,1,1,2,57
2,1,1,0,201711321.0,726160755.6,1,0,0,1,1,1,1487899862.0,10684793383,0,0,2,1,2,1,2,0,2,1,1,0,1,1,2,59
2,1,1,0,271155994.4,976161579.9,1,0,0,1,1,1,1237019424.0,9799857980,0,0,2,1,2,1,2,0,2,1,1,0,1,1,2,57
2,1,1,0,49470525.41,178093891.5,3,0,0,1,1,1,1152434783.0,11639142319,0,0,2,1,2,1,2,0,2,1,1,0,1,1,2,57
2,1,1,0,109576105.5,394473979.9,3,0,0,1,1,1,1120383507.0,5128700263,0,0,0,1,2,1,2,0,2,1,1,0,1,1,2,59
2,1,1,0,71540096.79,257544348.4,3,0,0,1,1,1,1249969664.0,4626443090,0,0,0,1,2,1,2,0,2,1,1,0,1,1,2,59
2,1,1,0,37646145.48,135526123.7,3,0,0,1,1,1,1042559894.0,5385557932,0,1,0,1,2,1,2,0,2,1,1,0,1,1,2,62
2,1,1,0,25506610.53,91823797.91,3,0,0,1,1,1,1419061405.0,7061466731,0,1,0,1,2,1,2,0,2,1,1,0,1,1,2,60
2,1,1,0,147116525.9,529619493.3,3,0,0,1,1,1,1131751388.0,7327599237,0,1,0,1,2,1,2,0,2,1,1,0,2,1,2,62
2,1,1,0,42515255.59,153054920.1,3,0,0,1,1,1,1465357296.0,8393996199,0,1,0,1,2,1,2,0,2,1,1,0,2,1,2,62
2,1,1,0,93445099.38,336402357.8,3,0,0,1,1,1,1075426835.0,9500539498,0,1,0,1,2,1,2,0,2,1,1,0,2,1,2,64
2,1,1,0,34406494.16,123863379.0,3,0,0,1,1,1,1478428371.0,6655064708,0,1,0,1,2,1,2,0,2,1,1,0,2,1,2,64
2,1,1,0,320081742.2,1152294272.0,1,0,0,1,1,1,1391251727.0,5515146986,0,1,0,1,2,1,2,0,2,1,1,0,2,1,2,64
2,1,1,0,262671855.3,945618679.1,1,0,0,1,1,1,1130280719.0,6670211070,0,1,0,1,2,0,2,0,2,1,1,0,2,1,2,64
2,1,1,0,31125174.29,112050627.4,3,0,0,1,1,1,1439095564.0,5640346918,0,1,0,1,2,0,2,1,2,1,1,0,2,1,2,67
2,1,3,1,774616374.0,2788618946.0,0,2,1,1,1,1,1206984865.0,6415001391,0,1,0,1,2,0,2,1,2,1,1,0,2,2,2,70
1,1,3,1,422536322.9,1521130762.0,0,2,1,1,1,1,1208990451.0,5998903276,1,1,0,1,2,0,2,1,0,1,1,0,2,2,2,76
1,1,3,1,403949223.7,1454217205.0,0,2,1,1,1,1,1383217470.0,8665580595,1,1,0,1,2,0,2,1,0,1,1,0,2,2,2,77
1,1,3,1,625924415.8,2253327897.0,0,2,1,1,1,1,1368474719.0,11986166007,1,1,0,1,2,0,2,1,0,1,1,0,2,2,2,76
1,1,3,1,637659440.8,2295573987.0,0,2,1,1,1,1,1426171231.0,6700419254,1,1,0,1,0,0,2,1,0,1,1,0,2,2,2,79
1,1,3,1,668897696.7,2408031708.0,0,2,1,1,1,1,1260889239.0,5616998826,1,1,0,1,0,0,2,1,0,1,1,0,2,2,2,79
1,0,3,1,526596768.3,1895748366.0,0,2,1,1,1,1,1301818771.0,11702449509,1,1,0,1,0,0,2,1,0,1,1,0,2,2,1,82
1,0,3,1,695709807.1,2504555305.0,0,2,1,1,1,1,1155644724.0,5595021673,1,1,0,1,0,0,2,1,0,1,1,0,2,2,1,84
1,0,3,1,691190100.5,2488284362.0,0,2,1,1,1,1,1444884759.0,11008611596,1,1,0,1,0,0,2,1,0,2,1,0,2,2,1,85
1,0,3,1,501939396.6,1806981828.0,0,2,1,1,1,1,1138775436.0,10000458062,1,1,0,1,0,0,2,1,0,2,1,0,2,2,1,84
1,0,3,1,528093821.2,1901137756.0,0,2,1,1,1,1,1165249429.0,7626982683,1,1,0,1,0,0,2,1,1,2,1,0,2,2,1,87
1,0,3,1,633951893.0,2282226815.0,0,2,1,1,1,1,1297911538.0,11423224683,1,1,0,1,0,0,2,1,1,2,1,0,2,2,1,87
1,0,3,1,578284650.1,2081824740.0,0,2,1,1,1,1,1412134324.0,10422866970,1,1,0,1,0,0,2,1,1,2,1,0,2,2,1,85
1,0,3,1,681552072.6,2453587461.0,0,2,1,1,1,1,1140007175.0,10430682125,1,1,0,1,0,0,2,1,1,2,1,0,2,2,1,85
1,0,3,1,777745080.3,2799882289.0,0,2,1,1,1,1,1121533824.0,10475105510,1,1,0,1,0,0,2,1,1,2,1,0,2,2,1,85
1,0,3,1,434567845.5,1564444244.0,0,2,1,1,1,1,1064952101.0,9956128563,1,1,0,2,0,0,2,1,1,2,1,0,2,2,1,90
1,0,3,1,664634188.5,2392683078.0,0,2,1,1,1,1,1613218351.0,6721371048,1,1,0,2,0,0,2,1,1,2,1,0,2,2,1,90
1,0,3,1,794932994.5,2861758780.0,0,2,1,1,1,1,1878773784.0,11304210644,1,1,0,2,0,0,2,1,1,2,1,0,2,2,1,91
1,0,3,1,828863063.0,2983907027.0,2,1,2,1,1,1,1597448498.0,8622652744,1,1,0,2,0,0,2,1,1,2,1,0,2,2,1,93
1,0,3,1,869735971.0,3131049495.0,2,1,2,1,1,1,1585207033.0,9507801684,1,1,1,2,0,0,2,1,1,0,1,0,2,2,1,94
1,0,3,1,942084568.0,3391504445.0,2,1,2,1,1,1,1534960899.0,11076702794,1,1,1,2,0,0,2,1,1,0,1,0,2,2,1,96
1,0,3,1,878760052.3,3163536188.0,2,1,2,1,1,1,1623039624.0,11789991453,1,1,1,2,0,2,2,1,1,0,1,0,2,2,1,96
1,0,3,1,884451622.4,3184025841.0,2,1,2,1,1,1,1639869435.0,10961818718,1,1,1,2,0,2,2,1,1,0,1,0,2,2,1,97
1,0,3,1,962858670.2,3466291213.0,2,1,2,1,1,1,1592328244.0,11845959005,1,1,1,2,0,2,2,1,1,0,1,0,2,2,1,97
1,0,3,1,938963530.9,3380268711.0,2,1,2,1,1,1,1660337033.0,11863899649,1,1,1,2,0,2,2,1,1,0,1,0,2,2,1,97
1,0,3,1,955509040.6,3439832546.0,2,1,2,1,1,1,1616885315.0,11015273834,1,1,1,2,0,2,2,1,1,0,1,0,2,2,1,96
1,0,3,1,820964440.7,2955471986.0,2,1,2,1,1,1,1768700935.0,9631901959,1,1,1,0,0,2,2,1,1,0,1,0,2,2,1,99
1,0,3,1,919775199.9,3311190720.0,2,1,2,1,1,1,1513856386.0,6437445389,1,1,1,0,0,2,2,1,1,0,1,0,2,2,1,99
1,0,3,1,815935460.4,2937367657.0,2,1,2,1,1,1,1623200969.0,4520062870,1,1,1,0,0,2,2,1,1,0,1,0,2,2,1,100
